title,brand,price,rating,votes,sales_last_month,image_url,url,has_reviews,category,rank,scraped_at
"Soundcore Anker Life A1 Écouteurs Bluetooth sans Fil, Écouteurs de Sport Étanche IPX7, Son Personnalisé, Autonomie 35H, Charge sans Fil, Charge Rapide USB C, Commande par Boutons, Transport, Sport",Soundcore,39.99,4.4,40247.0,200.0,https://m.media-amazon.com/images/I/51QReosscPL._AC_UL320_.jpg,https://www.amazon.fr/SoundCore-%C3%89couteurs-Bluetooth-Personnalis%C3%A9-Autonomie/dp/B08KDZ2NZX/ref=sr_1_45,True,Objets connectés,45,2025-06-24 15:18:12.700557
JBL Tune 570bt Black Auriculares Onear Inalámbricos,JBL,34.79,4.6,1579.0,200.0,https://m.media-amazon.com/images/I/515H9kt-7VL._AC_UL320_.jpg,https://www.amazon.fr/JBL-T570BT-BK-Bluetooth-Headphones/dp/B0BFRQZ9FL/ref=sr_1_46,True,Objets connectés,46,2025-06-24 15:18:12.702637
"Garmin Forerunner 165, Music - Montre GPS connectée de Running avec écran AMOLED – Noir/Gris",Garmin,310.99,4.5,433.0,50.0,https://m.media-amazon.com/images/I/612nZ+KvRUL._AC_UL320_.jpg,https://www.amazon.fr/Garmin-Intelligente-dentra%C3%AEnement-informations-r%C3%A9cup%C3%A9ration/dp/B0CWB662HK/ref=sr_1_47,True,Objets connectés,47,2025-06-24 15:18:12.704848
"HoomBand Casque Audio Bluetooth, Sommeil Bandeau pour s'endormir, sans Fil, Voyage, Appli Gratuite, Histoires Hypnotiques, Méditations Guidées conçues par des spécialistes du Sommeil",HoomBand,69.0,4.2,1621.0,100.0,https://m.media-amazon.com/images/I/916q9FD91ZL._AC_UL320_.jpg,https://www.amazon.fr/Bluetooth-sendormir-Hypnotiques-M%C3%A9ditations-sp%C3%A9cialistes/dp/B0BKCQTWGF/ref=sr_1_48,True,Objets connectés,48,2025-06-24 15:18:12.707594
Caméra Sport 4K 60FPS 64MP Caméra Étanche 40M Action Cam WiFi avec Micro SD 64GB Écran Tactile Stabilisateur EIS avec Kits d'accessoires pour Sports Extrêmes et Loisirs,Caméra,77.99,4.6,434.0,100.0,https://m.media-amazon.com/images/I/718JiiQF8JL._AC_UL320_.jpg,https://www.amazon.fr/%C3%89tanche-avec-Stabilisateur-daccessoires-Extr%C3%AAmes/dp/B0F18K542C/ref=sr_1_49,True,Objets connectés,49,2025-06-24 15:18:17.234826
"Ecouteurs Bluetooth sans Fil, Écouteurs Bluetooth 5.3 avec ENC Réduction Casque, 40 Heures Durée de Lecture avec Écran LED, Hi-FI Son Stéréo, IP7 Étanche, Contrôle Tactile Oreillette Bluetooth, Blanc",Ecouteurs,23.99,4.4,9813.0,200.0,https://m.media-amazon.com/images/I/51KzriBttLL._AC_UL320_.jpg,https://www.amazon.fr/Ecouteurs-Bluetooth-%C3%89couteurs-R%C3%A9duction-Oreillette/dp/B0CQPF7D8V/ref=sr_1_50,True,Objets connectés,50,2025-06-24 15:18:17.235800
Eyes GO 5K - Marque Française - Caméra Sport 5K30fps 4K60FPS - Appareil Photo 50MP - Kits 31 Accessoires - 2 écrans (Tactile & Vlog)- Micro Cravate 360° -EIS 2- Action Camera Sportive Étanche Dashcam,Eyes,89.9,4.9,13.0,50.0,https://m.media-amazon.com/images/I/61rmgaZmLUL._AC_UL320_.jpg,https://www.amazon.fr/Eyes-GO-5K-Fran%C3%A7aise-Accessoires/dp/B0F48PRZYQ/ref=sr_1_51,True,Objets connectés,51,2025-06-24 15:18:17.236846
"Srhythm NC25 Casque Bluetooth sans Fil Reducteur de Bruit Active, 50H Autonomie et Charge Rapide, Ecouteurs Connexion à 2 Appareils, Très léger avec Micro, Mode Transparence et Jeu, Mémoire de Forme",Srhythm,39.99,4.4,15101.0,200.0,https://m.media-amazon.com/images/I/61h8tZdnksL._AC_UL320_.jpg,https://www.amazon.fr/Srhythm-NC25-Bluetooth-Reducteur-Transparence/dp/B07C8GM4H1/ref=sr_1_52,True,Objets connectés,52,2025-06-24 15:18:17.237411
"DJI Bundle Osmo Action 4 Aventure - Caméra étanche 4K/120 IPS, capteur 1/1,3 Pouce, D-Log M 10 Bits, FOV Ultra Large 155º, Jusqu’à 7 Heures 30 Min avec Trois Batteries supplémentaires pour vlogging",DJI,347.21,4.4,4106.0,50.0,https://m.media-amazon.com/images/I/71mqPf2vE+L._AC_UL320_.jpg,https://www.amazon.fr/DJI-Aventure-Batteries-suppl%C3%A9mentaires-vlogging/dp/B0C783J9WC/ref=sr_1_53,True,Objets connectés,53,2025-06-24 15:18:17.238094
"Insta360 Ace Pro 2 Pack Double Batterie - Caméra d'action étanche 8K co-conçue avec Leica, capteur 1/1,3"", Double Puce d'IA, qualité en Basse lumière, Audio avancé, écran Rabattable, édition IA",Insta360,469.99,4.5,439.0,50.0,https://m.media-amazon.com/images/I/61v1GeFItkL._AC_UL320_.jpg,https://www.amazon.fr/Insta360-Ace-Pack-Double-Batterie/dp/B0DHGYYXLB/ref=sr_1_54,True,Objets connectés,54,2025-06-24 15:18:17.239064
Samsung Galaxy Buds 3 Écouteurs sans fil Argenté,Samsung,107.99,4.1,331.0,100.0,https://m.media-amazon.com/images/I/51gsjCiqolL._AC_UL320_.jpg,https://www.amazon.fr/Samsung-Galaxy-Buds-%C3%89couteurs-Argent%C3%A9/dp/B0D9C8DDKZ/ref=sr_1_55,True,Objets connectés,55,2025-06-24 15:18:17.239696
JVC CS-J520X Haut-Parleurs,JVC,25.02,4.4,4935.0,200.0,https://m.media-amazon.com/images/I/81w-GTLHv+L._AC_UL320_.jpg,https://www.amazon.fr/JVC-CS-J520X-Haut-parleurs/dp/B00JHEVRB6/ref=sr_1_56,True,Objets connectés,56,2025-06-24 15:18:17.240058
