title,brand,price,rating,votes,sales_last_month,image_url,url,prime,category,rank,scraped_at
"Insta360 Ace Pro 2 Pack de Luxe - Caméra d'action étanche 8K co-conçue avec Leica, capteur 1/1,3"", Double Puce d'IA, qualité en Basse lumière, Audio avancé, écran Rabattable, édition IA Vlogs, Moto",Insta360,535.0,4.5,437.0,,https://m.media-amazon.com/images/I/619dm+VEkrL._AC_UL320_.jpg,,False,Objets connectés,154,2025-06-24 11:52:13.848715
"Ecouteurs Bluetooth sans Fil, Écouteurs Bluetooth 5.3 2024 Écouteurs sans Fil avec 4 ENC Réduction de Bruit Mic, IP7 Étanches Oreillette Bluetooth 48H Stéréo USB-C Casque Bluetooth pour Sport/Travail",Ecouteurs,23.99,4.3,31045.0,50.0,https://m.media-amazon.com/images/I/71fxfoHxx0L._AC_UL320_.jpg,,False,Objets connectés,155,2025-06-24 11:52:13.851458
Orbitsound Dock E30 - Système d'enceintes Smart Wireless (Bluetooth/Wi-FI) (Bamboo),Orbitsound,399.9,4.4,27.0,,https://m.media-amazon.com/images/I/618ZlK-oesL._AC_UL320_.jpg,,False,Objets connectés,156,2025-06-24 11:52:13.852599
Garmin Forerunner 255S – Montre GPS Multisports connectée de Running - Grise - Boîtier 41 mm,Garmin,369.99,4.6,233.0,,https://m.media-amazon.com/images/I/71uyGBzaxlL._AC_UL320_.jpg,,False,Objets connectés,157,2025-06-24 11:52:13.853674
"Insta360 Ace Pro 2 Pack Standard - Caméra d'action étanche 8K co-conçue avec Leica, capteur 1/1,3"", Double Puce d'IA, qualité en Basse lumière, Audio avancé, écran Rabattable, édition IA, Moto",Insta360,449.99,4.5,437.0,,https://m.media-amazon.com/images/I/61+3zaSUKNL._AC_UL320_.jpg,,False,Objets connectés,158,2025-06-24 11:52:13.854555
"Ecouteurs Bluetooth sans Fil Sport, 2024 New Écouteur Bluetooth 5.4 avec Micro 50H Durée Lecture Oreillette Bluetooth, IP7 Étanche casque avec Écran LED, USB-C Charge Rapide, pour running fitness yoga",Ecouteurs,25.99,4.2,989.0,50.0,https://m.media-amazon.com/images/I/81fP4ZaZJYL._AC_UL320_.jpg,,False,Objets connectés,159,2025-06-24 11:52:13.855375
"JLab Go Air Sport+ Écouteurs Bluetooth sans Fil Sport, True Wireless, Oreillette avec 35 Heures de Batterie, Indice d’Étanchéité IP55, Contrôle par Application, Écouteurs Bluetooth Sport, Graphite",JLab,35.0,3.9,4789.0,50.0,https://m.media-amazon.com/images/I/71-Nm-6X1xL._AC_UL320_.jpg,,False,Objets connectés,160,2025-06-24 11:52:13.856829
HUE HD Pro : Visualiseur de Documents et Caméra USB Flexible de Visioconférence (Noir) avec Etui de Transport (Noir),HUE,76.95,4.4,26.0,,https://m.media-amazon.com/images/I/81fBblctXgL._AC_UL320_.jpg,,False,Objets connectés,161,2025-06-24 11:52:13.857669
AKASO Caméra Sport 4K 60fps 20MP WiFi Télécommande Commande Vocale Ecran Tactile EIS Caméra Sportive Etanche sous Marine Angle Vision Réglable 8X Zoom 2 Batteries et Kit d'Accessoires V50 Elite,AKASO,149.99,4.4,5170.0,,https://m.media-amazon.com/images/I/71kM3BRnDaL._AC_UL320_.jpg,,False,Objets connectés,162,2025-06-24 11:52:13.859707
"DJI Osmo Action 5 Pro Standard Combo avec Sac De Rangement + Film Blindé + Base MagnéTique + éTui de Protection, CaméRa Étanche avec Capteur 1/1,3"", VidéO 4k/120 Fps, Suivi des Motifs, Double Écran",DJI,420.99,3.8,4.0,,https://m.media-amazon.com/images/I/61pImzjUXiL._AC_UL320_.jpg,,False,Objets connectés,163,2025-06-24 11:52:13.861145
"COROS Pace Pro Montre GPS de Sport, écran Tactile AMOLED de 1,3 Pouce, Notre processeur Le Plus Rapide à ce Jour, autonomie de 20 j, Montre de Running, Navigation avec Cartes mondiales Hors Ligne",COROS,399.0,4.4,200.0,,https://m.media-amazon.com/images/I/61yIrLHBM2L._AC_UL320_.jpg,,False,Objets connectés,164,2025-06-24 11:52:13.862967
"AKASO Brave 8 Lite Caméra Sport 4K60FPS 20MP WiFi Caméra Étanche avec Stabilisation SuperSmooth, Écran Tactile, Grand Angle de 150°, Étanche jusqu'à 60M, Slo-mo 8X, Zoom 4X, 2 Batteries de 1550mAh",AKASO,209.99,4.2,1618.0,,https://m.media-amazon.com/images/I/819HxcPTmkL._AC_UL320_.jpg,,False,Objets connectés,165,2025-06-24 11:52:13.865542
"Soundcore Space One Pro d'Anker, Casque Bluetooth sans Fil avec Réduction de Bruit Adaptatif et 6 micros, Design Super Pliable, Autonomie 60h, Chargement Ultra-Rapide, H-Res Wireless Audio avec LDAC",Soundcore,149.99,4.5,652.0,,https://m.media-amazon.com/images/I/61bQdfpSHQL._AC_UL320_.jpg,,False,Objets connectés,166,2025-06-24 11:52:13.868256
"MIFA A1 Enceinte Portable, Haut Parleur Bluetooth et IP56 étanche et Anti-Poussière, Temps 15 Heures, Port Micro SD et Microphone Intégré",MIFA,18.99,4.3,13619.0,50.0,https://m.media-amazon.com/images/I/81kFLH0iW2L._AC_UL320_.jpg,,False,Objets connectés,167,2025-06-24 11:52:13.869484
Apexcam 4k Caméra Sport 20MP avec MicroSD 64 GB Action Cam WiFi Camera Étanche 40M Ultra HD Caméra d'action 170 ° Grand-Angle avec 2.4G Télécommande et 2 Batteries Rechargeables et kit d'accessoires…,Apexcam,62.37,4.2,13029.0,,https://m.media-amazon.com/images/I/719GPLdcbJL._AC_UL320_.jpg,,False,Objets connectés,168,2025-06-24 11:52:13.870622
"Mini Enceinte Portable, MIFA Haut Parleur Bluetooth et IP56 Étanche et Anti-Poussière, Port Micro SD et Microphone Intégré pour",Mini,18.99,4.3,13619.0,50.0,https://m.media-amazon.com/images/I/81G8+CgPngL._AC_UL320_.jpg,,False,Objets connectés,169,2025-06-24 11:52:17.952117
"Ecouteurs Bluetooth sans Fil, Écouteurs Bluetooth 5.3, 50 Heures Contrôle Tactile, 4 ENC Appel Réduction Antibruit Mic, Basses Profondes, Ajustement Confortable, IPX7 Étanche Casque（Bleu Marine）",Ecouteurs,23.98,4.5,16230.0,50.0,https://m.media-amazon.com/images/I/61+jjQncnrL._AC_UL320_.jpg,,False,Objets connectés,170,2025-06-24 11:52:17.953924
"Avantree Opera Plus - Casque sans Fil TV avec Modes Cinéma et Dialogue Clair, Opt, AUX, RCA, portée de 164 Pieds, émetteur Télévision Bluetooth & Station d'accueil de Chargement 2-en-1",Avantree,149.99,4.4,384.0,,https://m.media-amazon.com/images/I/51uMud1bCWL._AC_UL320_.jpg,,False,Objets connectés,171,2025-06-24 11:52:17.954844
CGV HEL DOLFIN L Casque TV sans Fil avec Assistant auditif spécial sénior - Noir,CGV,126.61,4.0,450.0,,https://m.media-amazon.com/images/I/61792Y5RhWL._AC_UL320_.jpg,,False,Objets connectés,172,2025-06-24 11:52:17.956112
"XTU Camera Sport 4K 30FPS 20MP avec Carte SD 64Go, Caméra Étanche sous Marine avec Écran Tactile Double Affichage, Action Cam avec 2.4GHz WiFi Télécommande, EIS Stabilisation4.0, Kit d'Accessoire",XTU,109.99,4.4,444.0,,https://m.media-amazon.com/images/I/71ncRBFrNLL._AC_UL320_.jpg,,False,Objets connectés,173,2025-06-24 11:52:17.956962
"Insta360 GO 3S 64 Go Mini caméra portable 4K mains libres, stabilisation partout, batterie 140 min, étanche à 10 m, traitement IA, Apple Find My, noir, pour vlog, voyage, extérieur",Insta360,399.99,,,,https://m.media-amazon.com/images/I/71ti3cYFEwL._AC_UL320_.jpg,,False,Objets connectés,174,2025-06-24 11:52:17.958192
